"측정월","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"202305","강남구","0.018","0.039","0.3","0.003","29","15"
"202305","강남대로","0.027","0.027","0.5","0.002","34","16"
"202305","강동구","0.014","0.033","0.3","0.002","30","16"
"202305","강변북로","0.025","0.03","0.4","0.003","31","14"
"202305","강북구","0.01","0.041","0.4","0.002","30","14"
"202305","강서구","0.018","0.039","0.4","0.002","36","15"
"202305","공항대로","0.025","0.032","0.4","0.003","34","15"
"202305","관악구","0.018","0.041","0.4","0.003","33","17"
"202305","관악산","0.005","0.055","0.2","0.002","28","15"
"202305","광진구","0.015","0.039","0.2","0.002","29","14"
"202305","구로구","0.014","0.034","0.3","0.003","28","13"
"202305","금천구","0.012","0.036","0.4","0.003","28","16"
"202305","남산","0.009","0.048","0.6","0.004","28","16"
"202305","노원구","0.014","0.039","0.4","0.003","29","16"
"202305","도봉구","0.011","0.04","0.6","0.003","26","13"
"202305","도산대로","0.014","0.036","0.6","0.003","33","14"
"202305","동대문구","0.015","0.039","0.4","0.003","34","14"
"202305","동작구","0.015","0.04","0.3","0.002","28","13"
"202305","동작대로","0.026","0.035","0.4","0.003","31","17"
"202305","마포구","0.017","0.038","0.4","0.003","28","15"
"202305","마포아트센터","0.018","0.04","0.3","0.003","34","14"
"202305","북한산","0.007","0.043","0.2","0.003","24","12"
"202305","서대문구","0.007","0.044","0.3","0.003","26","11"
"202305","서울숲","0.015","0.036","0.4","0.003","32","14"
"202305","서초구","0.016","0.035","0.3","0.003","30","14"
"202305","성동구","0.015","0.04","0.3","0.003","30","14"
"202305","성북구","0.017","0.038","0.4","0.002","31","14"
"202305","세곡","0.017","0.032","0.4","0.002","32","14"
"202305","송파구","0.02","0.038","0.4","0.002","34","16"
"202305","시흥대로","0.034","0.024","0.4","0.003","33","14"
"202305","신촌로","0.022","0.03","0.4","0.003","34","16"
"202305","양천구","0.018","0.034","0.4","0.003","30","15"
"202305","영등포구","0.02","0.034","0.4","0.003","29","13"
"202305","영등포로","0.027","0.029","0.4","0.003","32","17"
"202305","올림픽공원","0.013","0.038","0.5","0.002","28","16"
"202305","용산구","0.017","0.039","0.4","0.003","32","18"
"202305","은평구","0.01","0.041","0.4","0.002","28","13"
"202305","자연사박물관","0.012","0.043","0.3","0.003","27","12"
"202305","정릉로","0.026","0.031","0.4","0.003","34","16"
"202305","종로","0.021","0.027","0.5","0.003","34","13"
"202305","종로구","0.015","0.039","0.4","0.003","28","14"
"202305","중구","0.018","0.036","0.4","0.003","26","14"
"202305","중랑구","0.013","0.04","0.3","0.002","29","15"
"202305","천호대로","0.023","0.032","0.4","0.002","33","15"
"202305","청계천로","0.021","0.033","0.4","0.003","33","16"
"202305","한강대로","0.022","0.035","0.5","0.003","37","17"
"202305","항동","0.01","0.048","0.5","0.003","25","12"
"202305","행주","0.016","0.036","0.5","0.003","32","12"
"202305","홍릉로","0.022","0.035","0.4","0.003","33","17"
"202305","화랑로","0.028","0.027","0.4","0.002","33","16"
"202304","강남구","0.02","0.04","0.4","0.003","60","19"
"202304","강남대로","0.03","0.028","0.5","0.003","73","24"
"202304","강동구","0.017","0.033","0.4","0.002","61","21"
"202304","강변북로","0.032","0.028","0.5","0.003","68","23"
"202304","강북구","0.014","0.041","0.4","0.002","63","21"
"202304","강서구","0.02","0.04","0.4","0.003","73","21"
"202304","공항대로","0.028","0.034","0.4","0.003","69","21"
"202304","관악구","0.02","0.04","0.5","0.003","66","23"
"202304","관악산","0.008","0.057","0.2","0.002","68","21"
"202304","광진구","0.017","0.034","0.3","0.003","60","19"
"202304","구로구","0.016","0.036","0.4","0.003","73","23"
"202304","금천구","0.019","0.04","0.4","0.003","56","21"
"202304","남산","0.015","0.045","0.4","0.004","64","25"
"202304","노원구","0.019","0.038","0.4","0.003","64","23"
"202304","도봉구","0.014","0.039","0.4","0.003","63","21"
"202304","도산대로","0.017","0.036","0.6","0.003","73","26"
"202304","동대문구","0.019","0.04","0.4","0.003","63","19"
"202304","동작구","0.018","0.044","0.4","0.003","59","21"
"202304","동작대로","0.03","0.034","0.5","0.003","60","21"
"202304","마포구","0.019","0.038","0.4","0.003","56","22"
"202304","마포아트센터","0.021","0.041","0.4","0.003","76","23"
"202304","북한산","0.01","0.044","0.2","0.003","57","20"
"202304","서대문구","0.011","0.041","0.4","0.003","62","20"
"202304","서울숲","0.021","0.036","0.5","0.003","70","25"
"202304","서초구","0.019","0.035","0.4","0.003","67","23"
"202304","성동구","0.02","0.039","0.4","0.003","60","20"
"202304","성북구","0.022","0.036","0.4","0.003","68","22"
"202304","세곡","0.022","0.031","0.5","0.003","68","22"
"202304","송파구","0.023","0.037","0.4","0.003","68","22"
"202304","시흥대로","0.034","0.028","0.5","0.003","66","20"
"202304","신촌로","0.027","0.029","0.5","0.003","70","23"
"202304","양천구","0.019","0.034","0.4","0.003","63","21"
"202304","영등포구","0.022","0.035","0.4","0.003","58","19"
"202304","영등포로","0.031","0.029","0.5","0.003","65","23"
"202304","올림픽공원","0.017","0.042","0.5","0.003","63","25"
"202304","용산구","0.02","0.039","0.4","0.003","68","24"
"202304","은평구","0.013","0.04","0.5","0.002","64","24"
"202304","자연사박물관","0.017","0.04","0.4","0.003","63","19"
"202304","정릉로","0.03","0.029","0.5","0.003","63","23"
"202304","종로","0.024","0.028","0.5","0.003","57","18"
"202304","종로구","0.018","0.039","0.5","0.003","61","20"
"202304","중구","0.022","0.036","0.4","0.003","56","20"
"202304","중랑구","0.019","0.038","0.4","0.002","59","22"
"202304","천호대로","0.027","0.031","0.4","0.003","64","20"
"202304","청계천로","0.025","0.033","0.5","0.003","65","22"
"202304","한강대로","0.026","0.035","0.6","0.004","78","25"
"202304","항동","0.012","0.042","0.4","0.003","50","20"
"202304","행주","0.019","0.036","0.4","0.003","63","18"
"202304","홍릉로","0.027","0.031","0.5","0.003","61","23"
"202304","화랑로","0.032","0.027","0.5","0.003","65","22"
"202303","강남구","0.031","0.034","0.5","0.004","65","26"
"202303","강남대로","0.039","0.024","0.8","0.003","79","33"
"202303","강동구","0.022","0.028","0.4","0.003","68","30"
"202303","강변북로","0.044","0.021","0.7","0.003","76","35"
"202303","강북구","0.02","0.038","0.5","0.003","68","29"
"202303","강서구","0.028","0.036","0.5","0.003","78","31"
"202303","공항대로","0.035","0.029","0.5","0.003","72","28"
"202303","관악구","0.029","0.028","0.6","0.003","70","32"
"202303","관악산","0.011","0.056","0.2","0.003","66","26"
"202303","광진구","0.024","0.028","0.5","0.003","64","29"
"202303","구로구","0.024","0.028","0.5","0.003","78","32"
"202303","금천구","0.032","0.036","0.5","0.004","58","30"
"202303","남산","0.021","0.04","0.5","0.004","69","31"
"202303","노원구","0.025","0.033","0.5","0.003","69","32"
"202303","도봉구","0.021","0.036","0.6","0.003","66","29"
"202303","도산대로","0.025","0.029","0.6","0.003","79","37"
"202303","동대문구","0.028","0.035","0.5","0.004","66","29"
"202303","동작구","0.027","0.036","0.5","0.003","64","31"
"202303","동작대로","0.04","0.028","0.6","0.003","66","28"
"202303","마포구","0.029","0.032","0.5","0.003","58","31"
"202303","마포아트센터","0.03","0.036","0.5","0.003","73","30"
"202303","북한산","0.012","0.046","0.4","0.003","61","27"
"202303","서대문구","0.015","0.037","0.5","0.003","67","28"
"202303","서울숲","0.032","0.031","0.7","0.004","76","32"
"202303","서초구","0.029","0.03","0.5","0.003","72","32"
"202303","성동구","0.031","0.032","0.5","0.003","66","27"
"202303","성북구","0.032","0.031","0.6","0.003","71","30"
"202303","세곡","0.032","0.028","0.7","0.004","74","31"
"202303","송파구","0.032","0.03","0.5","0.003","72","28"
"202303","시흥대로","0.04","0.026","0.5","0.004","71","27"
"202303","신촌로","0.036","0.023","0.6","0.003","75","34"
"202303","양천구","0.028","0.03","0.5","0.004","70","33"
"202303","영등포구","0.03","0.031","0.5","0.003","62","29"
"202303","영등포로","0.039","0.025","0.6","0.003","70","31"
"202303","올림픽공원","0.027","0.04","0.5","0.003","70","34"
"202303","용산구","0.029","0.033","0.6","0.004","70","30"
"202303","은평구","0.019","0.036","0.5","0.003","66","31"
"202303","자연사박물관","0.025","0.036","0.4","0.003","68","29"
"202303","정릉로","0.038","0.024","0.6","0.003","67","29"
"202303","종로","0.029","0.027","0.6","0.004","62","26"
"202303","종로구","0.027","0.033","0.6","0.003","66","30"
"202303","중구","0.028","0.038","0.5","0.003","61","31"
"202303","중랑구","0.027","0.033","0.5","0.003","63","29"
"202303","천호대로","0.038","0.025","0.6","0.003","69","30"
"202303","청계천로","0.032","0.029","0.6","0.004","69","32"
"202303","한강대로","0.035","0.029","0.6","0.004","80","33"
"202303","항동","0.016","0.035","0.5","0.004","61","29"
"202303","행주","0.023","0.031","0.4","0.003","64","26"
"202303","홍릉로","0.036","0.024","0.6","0.004","65","31"
"202303","화랑로","0.039","0.024","0.6","0.003","67","28"
"202302","강남구","0.032","0.023","0.5","0.003","46","28"
"202302","강남대로","0.036","0.015","0.7","0.003","52","33"
"202302","강동구","0.024","0.019","0.5","0.003","47","31"
"202302","강변북로","0.04","0.015","0.6","0.003","51","35"
"202302","강북구","0.022","0.027","0.6","0.002","48","32"
"202302","강서구","0.03","0.023","0.6","0.004","53","31"
