adtEndDd,adtFrDd,clCd,clCdNm,curAmt,npayCd,npayKorNm,sgguCd,sgguCdNm,sidoCd,sidoCdNm,sno,urlAddr,yadmNm,yadmNpayCdNm,ykiho
99991231,20250903,28,요양병원,10000,PDZ070001,제증명수수료/장애 정도 심사용 진단서/신체적장애,210001,부산남구,210000,부산,7,http://www.grandnature.kr,그랜드자연요양병원,장애진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,3000,PDZ090002,제증명수수료/확인서/입퇴원,210001,부산남구,210000,부산,8,http://www.grandnature.kr,그랜드자연요양병원,입퇴원확인서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,10000,PDZ110004,제증명수수료/진료기록영상/CD,210001,부산남구,210000,부산,16,http://www.grandnature.kr,그랜드자연요양병원,영상CD복사,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,3000,PDZ090004,제증명수수료/확인서/통원,210001,부산남구,210000,부산,9,http://www.grandnature.kr,그랜드자연요양병원,통원확인서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,1000,PDZ160000,제증명수수료/제증명서 사본,210001,부산남구,210000,부산,21,http://www.grandnature.kr,그랜드자연요양병원,제증명서사본,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,10000,PDZ030000,제증명수수료/사망진단서,210001,부산남구,210000,부산,6,http://www.grandnature.kr,그랜드자연요양병원,사망진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,3000,PDZ090007,제증명수수료/확인서/진료,210001,부산남구,210000,부산,10,http://www.grandnature.kr,그랜드자연요양병원,진료확인서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,20000,PDE010001,제증명수수료/영문진단서/일반,210001,부산남구,210000,부산,14,http://www.grandnature.kr,그랜드자연요양병원,영문진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,1000,PDZ170000,제증명수수료/장애인증명서,210001,부산남구,210000,부산,18,http://www.grandnature.kr,그랜드자연요양병원,장애인증명서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,20000,ABZ020001,상급병실료/2인실,210001,부산남구,210000,부산,2,http://www.grandnature.kr,그랜드자연요양병원,상급병실료,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,1000,PDZ110101,제증명수수료/진료기록사본/1~5매,210001,부산남구,210000,부산,19,http://www.grandnature.kr,그랜드자연요양병원,진료기록사본1,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,20000,PDZ010000,제증명수수료/진단서/일반,210001,부산남구,210000,부산,3,http://www.grandnature.kr,그랜드자연요양병원,진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,20000,PDZ010001,제증명수수료/진단서/건강,210001,부산남구,210000,부산,4,http://www.grandnature.kr,그랜드자연요양병원,건강진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,10000,PDZ010002,제증명수수료/진단서/근로능력평가용,210001,부산남구,210000,부산,5,http://www.grandnature.kr,그랜드자연요양병원,근로능력평가용진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,100,PDZ110102,제증명수수료/진료기록사본/6매 이상,210001,부산남구,210000,부산,20,http://www.grandnature.kr,그랜드자연요양병원,진료기록사본2,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,28,요양병원,30000,ABZ010001,상급병실료/1인실,210001,부산남구,210000,부산,1,http://www.grandnature.kr,그랜드자연요양병원,상급병실료,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
99991231,20250903,29,정신병원,100,PDZ110102,제증명수수료/진료기록사본/6매 이상,210001,부산남구,210000,부산,1,https://ganahospital.co.kr/sub/?pid=use-6&category=certificate,의료법인인혜의료재단가나병원,의무기록사본1장,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
99991231,20250903,29,정신병원,40000,PDZ070002,제증명수수료/장애 정도 심사용 진단서/정신적장애,210001,부산남구,210000,부산,8,https://ganahospital.co.kr/sub/?pid=use-6&category=certificate,의료법인인혜의료재단가나병원,정신지체 및 발달장애진단서,JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
