adtEndDd,adtFrDd,clCd,clCdNm,curAmt,npayCd,npayKorNm,sgguCd,sgguCdNm,sidoCd,sidoCdNm,sno,yadmNm,yadmNpayCdNm,ykiho,urlAddr
99991231,20251118,21,병원,680000,HE1150000,자기공명영상진단료(MRI-기본검사)/근골격계-견관절/일반,110001,강남구,110000,서울,9,하병원,MRI Shoulder,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,680000,HE1170000,자기공명영상진단료(MRI-기본검사)/근골격계-수관절/일반,110001,강남구,110000,서울,31,하병원,MRI LT HAND,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,680000,HE1160000,자기공명영상진단료(MRI-기본검사)/근골격계-주관절/일반,110001,강남구,110000,서울,29,하병원,MRI(B) Elbow,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,200000,EB4890000,초음파검사료(진단초음파)/혈관-사지혈관 도플러 초음파/하지 정맥류,110001,강남구,110000,서울,5,하병원,SONO-Doppler Lower Extremity-Unilateral,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,100,PDZ110102,제증명수수료/진료기록사본/6매 이상,110001,강남구,110000,서울,18,하병원,진료기록사본 (6매 이상),JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,100000,EB5630000,초음파 검사료(유도 초음파)/유도초음파/Ⅲ,110001,강남구,110000,서울,27,하병원,유도초음파III,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,220000,MX1220000,이학요법료/도수치료,110001,강남구,110000,서울,12,하병원,도수치료 B,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,680000,HE1090000,자기공명영상진단료(MRI-기본검사)/척추-경추/일반,110001,강남구,110000,서울,8,하병원,MRI(B) C-Spine,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,150000,EZ9850000,초음파 검사료(유도 초음파)/수술 중 초음파,110001,강남구,110000,서울,24,하병원,(BPB) 수술 중 초음파,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
99991231,20251118,21,병원,50000,EB5610000,초음파 검사료(유도 초음파)/유도초음파/Ⅰ,110001,강남구,110000,서울,25,하병원,유도초음파I,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,
